Layer name, Layer Type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Stride H, Stride W, MAC Cycles,
Conv1,	GEMM,28,28,3,3,1,32,1,1,1,	
Conv2,	GEMM,26,26,3,3,32,64,	1,	1,1,	
FC3,	GEMM,1,1,1,1,9216,128,	1,	1,1,	
FC4,	GEMM,1,1,1,1,128,10,	1,	1,1,	
,,,,,,,,,,,	
,,,,,,,,,,,	
,,,,,,,,,,,	
,,,,,,,,,,,	
